what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1568817231157
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1568817231157
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1568817231158
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1568817231159
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1568817231160
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1568817231162
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110819-1700,"org.eclipse.team.svn.core",1568817231162
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1568817231162
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1568817231162
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1568817231162
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1568817231166
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1568817231167
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1568817231167
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1568817231171
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1568817231172
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1568817231173
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1568817231174
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1568817231174
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1568817231175
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1568817231177
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1568817231177
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1568817231178
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1568817231179
os,sysinfo,,,"win32",1568817231181
arch,sysinfo,,,"x86_64",1568817231181
ws,sysinfo,,,"win32",1568817231181
locale,sysinfo,,,"es_AR",1568817231181
processors,sysinfo,,,"8",1568817231181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1568817231181
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1568817231181
java.specification.name,sysinfo,,,"Java Platform API Specification",1568817231181
java.specification.vendor,sysinfo,,,"Oracle Corporation",1568817231181
java.specification.version,sysinfo,,,"1.8",1568817231181
java.vendor,sysinfo,,,"Oracle Corporation",1568817231181
java.version,sysinfo,,,"1.8.0_211",1568817231181
java.vm.info,sysinfo,,,"mixed mode",1568817231181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1568817231181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1568817231181
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1568817231181
